ledger_id,date,amount,currency,party_name,invoice_id,description
LEDG-50012,2023-10-05,3498.37,INR,Company_M,INV-1012,Vendor payment
LEDG-50046,2023-10-02,4975.5,INR,Company_U,INV-1046,Vendor payment
LEDG-50039,2023-10-08,2300.74,INR,Company_N,INV-1039,Vendor payment
LEDG-50074,2023-10-29,837.48,INR,Software Inc,INV-1074,Annual SaaS License
LEDG-50059,2023-10-01,1067.75,INR,Service_Provider_59,INV-1059,Consulting services
LEDG-50023,2023-10-31,4934.99,INR,Company_X,INV-1023,Vendor payment
LEDG-50079,2023-10-14,2247.68,INR,Razorpay Payment Gateway,order_RzP79xk,"Customer order payout, net of gateway fee"
LEDG-50050,2023-10-09,285.18,INR,Company_Y,INV-1050,Vendor payment
LEDG-50062,2023-10-02,2867.69,INR,Service_Provider_62,INV-1062,Consulting services
LEDG-50021,2023-10-21,3355.24,INR,Company_V,INV-1021,Vendor payment
LEDG-50019,2023-10-07,1930.66,INR,Company_T,INV-1019,Vendor payment
LEDG-50028,2023-10-20,4537.08,INR,Company_C,INV-1028,Vendor payment
LEDG-50038,2023-10-14,3749.43,INR,Company_M,INV-1038,Vendor payment
LEDG-50015,2023-10-22,3310.22,INR,Company_P,INV-1015,Vendor payment
LEDG-50009,2023-10-23,662.68,INR,Company_J,INV-1009,Vendor payment
LEDG-50048,2023-10-14,4380.86,INR,Company_W,INV-1048,Vendor payment
LEDG-50064,2023-10-16,761.92,INR,Service_Provider_64,INV-1064,Consulting services
LEDG-50047,2023-10-05,3409.16,INR,Company_V,INV-1047,Vendor payment
LEDG-50043,2023-10-10,998.07,INR,Company_R,INV-1043,Vendor payment
LEDG-50053,2023-10-25,4017.14,INR,Service_Provider_53,INV-1053,Consulting services
LEDG-50078,2023-10-19,2692.08,INR,AWS Cloud Hosting,AW-78,Monthly Server Bill
LEDG-50080,2023-10-19,2588.42,INR,Razorpay Payment Gateway,order_RzP80xk,"Customer order payout, net of gateway fee"
LEDG-50051,2023-10-01,3665.2,INR,Service_Provider_51,INV-1051,Consulting services
LEDG-50058,2023-10-25,1153.73,INR,Service_Provider_58,INV-1058,Consulting services
LEDG-50001,2023-10-16,3553.56,INR,Company_B,INV-1001,Vendor payment
LEDG-50011,2023-10-23,2033.76,INR,Company_L,INV-1011,Vendor payment
LEDG-50024,2023-10-09,640.47,INR,Company_Y,INV-1024,Vendor payment
LEDG-50044,2023-10-17,3885.11,INR,Company_S,INV-1044,Vendor payment
LEDG-50045,2023-10-24,1944.05,INR,Company_T,INV-1045,Vendor payment
LEDG-50035,2023-10-26,1101.91,INR,Company_J,INV-1035,Vendor payment
LEDG-50049,2023-10-04,2305.13,INR,Company_X,INV-1049,Vendor payment
LEDG-50029,2023-10-15,1837.55,INR,Company_D,INV-1029,Vendor payment
LEDG-50031,2023-10-28,4171.06,INR,Company_F,INV-1031,Vendor payment
LEDG-50056,2023-10-12,2958.87,INR,Service_Provider_56,INV-1056,Consulting services
LEDG-50075,2023-10-29,549.21,INR,Software Inc,INV-1075,Annual SaaS License
LEDG-50052,2023-10-01,917.92,INR,Service_Provider_52,INV-1052,Consulting services
LEDG-50025,2023-10-19,4280.8,INR,Company_Z,INV-1025,Vendor payment
LEDG-50013,2023-10-31,2959.4,INR,Company_N,INV-1013,Vendor payment
LEDG-50061,2023-10-10,882.49,INR,Service_Provider_61,INV-1061,Consulting services
LEDG-50055,2023-10-11,3874.76,INR,Service_Provider_55,INV-1055,Consulting services
LEDG-50020,2023-10-31,2498.4,INR,Company_U,INV-1020,Vendor payment
LEDG-50030,2023-10-15,3765.17,INR,Company_E,INV-1030,Vendor payment
LEDG-50071,2023-10-29,881.52,INR,Software Inc,INV-1071,Annual SaaS License
LEDG-50004,2023-10-27,4510.04,INR,Company_E,INV-1004,Vendor payment
LEDG-50017,2023-10-18,1910.66,INR,Company_R,INV-1017,Vendor payment
LEDG-50054,2023-10-22,978.0,INR,Service_Provider_54,INV-1054,Consulting services
LEDG-50037,2023-10-19,4165.92,INR,Company_L,INV-1037,Vendor payment
LEDG-50057,2023-10-23,3480.54,INR,Service_Provider_57,INV-1057,Consulting services
LEDG-50006,2023-10-27,560.45,INR,Company_G,INV-1006,Vendor payment
LEDG-50018,2023-10-23,3501.24,INR,Company_S,INV-1018,Vendor payment
LEDG-50034,2023-10-09,4418.53,INR,Company_I,INV-1034,Vendor payment
LEDG-50033,2023-10-05,3543.32,INR,Company_H,INV-1033,Vendor payment
