txn_id,date,amount,currency,description,reference_id
TXN-10049,2023-10-04,2305.13,INR,Payment to Company_X ref INV-1049,INV-1049
TXN-10059,2023-10-04,1074.35,INR,ACH Transfer Srvce_Providr_59 INV-1059,
TXN-10051,2023-10-04,3629.96,INR,ACH Transfer Srvce_Providr_51 INV-1051,
TXN-10024,2023-10-09,640.47,INR,Payment to Company_Y ref INV-1024,INV-1024
TXN-10032,2023-10-22,1289.81,INR,Payment to Company_G ref INV-1032,INV-1032
TXN-10002,2023-10-31,1352.2,INR,Payment to Company_C ref INV-1002,INV-1002
TXN-10056,2023-10-13,2929.6,INR,ACH Transfer Srvce_Providr_56 INV-1056,
TXN-10029,2023-10-15,1837.55,INR,Payment to Company_D ref INV-1029,INV-1029
TXN-10077,2023-10-06,1271.39,INR,AMZN WEB SRVCS 77,AW-77
TXN-10045,2023-10-24,1944.05,INR,Payment to Company_T ref INV-1045,INV-1045
TXN-10068,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10060,2023-10-04,3790.65,INR,ACH Transfer Srvce_Providr_60 INV-1060,
TXN-10030,2023-10-15,3765.17,INR,Payment to Company_E ref INV-1030,INV-1030
TXN-10050,2023-10-09,285.18,INR,Payment to Company_Y ref INV-1050,INV-1050
TXN-10033,2023-10-05,3543.32,INR,Payment to Company_H ref INV-1033,INV-1033
TXN-10020,2023-10-31,2498.4,INR,Payment to Company_U ref INV-1020,INV-1020
TXN-10012,2023-10-05,3498.37,INR,Payment to Company_M ref INV-1012,INV-1012
TXN-10004,2023-10-27,4510.04,INR,Payment to Company_E ref INV-1004,INV-1004
TXN-10011,2023-10-23,2033.76,INR,Payment to Company_L ref INV-1011,INV-1011
TXN-10025,2023-10-19,4280.8,INR,Payment to Company_Z ref INV-1025,INV-1025
TXN-10035,2023-10-26,1101.91,INR,Payment to Company_J ref INV-1035,INV-1035
TXN-10026,2023-10-23,3223.14,INR,Payment to Company_A ref INV-1026,INV-1026
TXN-10038,2023-10-14,3749.43,INR,Payment to Company_M ref INV-1038,INV-1038
TXN-10063,2023-10-22,1764.51,INR,ACH Transfer Srvce_Providr_63 INV-1063,
TXN-10070,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10041,2023-10-12,2792.42,INR,Payment to Company_P ref INV-1041,INV-1041
TXN-10016,2023-10-28,293.07,INR,Payment to Company_Q ref INV-1016,INV-1016
TXN-10043,2023-10-10,998.07,INR,Payment to Company_R ref INV-1043,INV-1043
TXN-10066,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10022,2023-10-14,2232.61,INR,Payment to Company_W ref INV-1022,INV-1022
TXN-10006,2023-10-27,560.45,INR,Payment to Company_G ref INV-1006,INV-1006
TXN-10039,2023-10-08,2300.74,INR,Payment to Company_N ref INV-1039,INV-1039
TXN-10010,2023-10-27,149.85,INR,Payment to Company_K ref INV-1010,INV-1010
TXN-10037,2023-10-19,4165.92,INR,Payment to Company_L ref INV-1037,INV-1037
TXN-10069,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10046,2023-10-02,4975.5,INR,Payment to Company_U ref INV-1046,INV-1046
TXN-10018,2023-10-23,3501.24,INR,Payment to Company_S ref INV-1018,INV-1018
TXN-10003,2023-10-09,3141.25,INR,Payment to Company_D ref INV-1003,INV-1003
TXN-10080,2023-10-24,2588.42,INR,RAZORPAY SETTLEMENT order_RzP80xk,order_RzP80xk
TXN-10001,2023-10-16,3553.56,INR,Payment to Company_B ref INV-1001,INV-1001
TXN-10005,2023-10-25,4859.85,INR,Payment to Company_F ref INV-1005,INV-1005
TXN-10065,2023-10-07,4096.86,INR,ACH Transfer Srvce_Providr_65 INV-1065,
TXN-10047,2023-10-05,3409.16,INR,Payment to Company_V ref INV-1047,INV-1047
